"Name","Gross Export","Share","Code","Sector"
"Nuclear reactors and related equipment","18818","0.0004568790159103747","8401","Machinery"
"Steam boilers","1221181","0.029648845442047368","8402","Machinery"
"Central heating boilers","78627","0.0019089715370382099","8403","Machinery"
"Auxiliary parts for use with boilers","487890","0.011845398186444507","8404","Machinery"
"Water gas generators","8893159","0.2159154922018542","8405","Machinery"
"Steam turbines","2319808","0.056322223198055826","8406","Machinery"
"Spark-ignition reciprocating internal combustion piston engines","991097","0.024062675206277216","8407","Machinery"
"Compression-ignition internal combustion piston engines","23177583","0.5627245888097051","8408","Machinery"
"Parts suitable for use with spark-ignition engines","5151983","0.12508411749532256","8409","Machinery"
"Hydraulic turbines, water wheels and regulators","2237","0.000054311741874349464","8410","Machinery"
"Gas turbines","72491479","1.7600082680097564","8411","Machinery"
"Other engines and motors","20216503","0.4908330319794419","8412","Machinery"
"Pumps for liquids","36412759","0.8840591719896715","8413","Machinery"
"Pumps, compressors, fans, etc.","54236291","1.3167936687590984","8414","Machinery"
"Air conditioners","7924281","0.1923922683110469","8415","Machinery"
"Furnace burners","5344736","0.12976393474230802","8416","Machinery"
"Industrial furnaces","3441003","0.08354352558107382","8417","Machinery"
"Refrigerators, freezers","7061781","0.17145177775824114","8418","Machinery"
"Equipment for temperature change of materials","58089134","1.4103361875335256","8419","Machinery"
"Calendering or other rolling machines, other than for metals or glass","7206574","0.17496718233634248","8420","Machinery"
"Centrifuges","183610882","4.457857321638641","8421","Machinery"
"Dish washing machines","32463336","0.7881718038499224","8422","Machinery"
"Weighing machinery","1787976","0.04340996468016623","8423","Machinery"
"Sprays and powder dispersers","10195851","0.2475433293255824","8424","Machinery"
"Pulleys and winches","4964679","0.12053659559097159","8425","Machinery"
"Ships' derricks; cranes","8104063","0.19675716485894776","8426","Machinery"
"Fork-lift trucks","3341098","0.0811179491072442","8427","Machinery"
"Other lifting machinery","9666662","0.2346952397543955","8428","Machinery"
"Self-propelled bulldozers, excavators and road rollers","6435917","0.15625653233291803","8429","Machinery"
"Other moving, excavating or boring machinery","2277888","0.0553044546601154","8430","Machinery"
"Parts for use with hoists and excavation machinery","9183444","0.22296327225996573","8431","Machinery"
"Machinery for soil preparation or cultivation","64921","0.0015762058981782037","8432","Machinery"
"Harvesting or agricultural machinery","1545232","0.03751642446132534","8433","Machinery"
"Dairy machinery","227166","0.005515324610920192","8434","Machinery"
"Machines for wine and juice production","37942","0.0009211873536864406","8435","Machinery"
"Other agricultural machinery","1298475","0.031525453299193526","8436","Machinery"
"Machinery for processing grain","623213","0.015130882247983438","8437","Machinery"
"Machinery for the industrial preparation of food or drink","11547323","0.28035548775848845","8438","Machinery"
"Machinery for making paper","2238973","0.054359644005202434","8439","Machinery"
"Bookbinding machinery","317646","0.007712073115520613","8440","Machinery"
"Other machinery for making paper","3319921","0.08060379633224504","8441","Machinery"
"Machinery for making printing components","869253","0.021104445489273087","8442","Machinery"
"Printers and copiers","12542336","0.3045132388615828","8443","Machinery"
"Machines to extrude, cut manmade textile fibres","1227387","0.02979951985870906","8444","Machinery"
"Machines for preparing textile fibers","6991350","0.16974179550882124","8445","Machinery"
"Looms","70778","0.001718407003300271","8446","Machinery"
"Knitting machines","11113449","0.2698215348331458","8447","Machinery"
"Auxiliary machinery for use with knitting and textile machines","22208302","0.5391915805505583","8448","Machinery"
"Machinery to manufacture felt","1572964","0.03818972496452581","8449","Machinery"
"Household- or laundry-type washing machines","990560","0.024049637474767814","8450","Machinery"
"Machinery for processing fabrics","1780872","0.04323748787449999","8451","Machinery"
"Sewing machines","689686","0.01674476888974188","8452","Machinery"
"Machinery for preparing leather","210381","0.005107804455640373","8453","Machinery"
"Machines used in metallurgy","3083452","0.07486260576931006","8454","Machinery"
"Metal-rolling mills","17829713","0.43288456421534777","8455","Machinery"
"Machines for working materials by laser and similar means","12764928","0.30991751210579166","8456","Machinery"
"Machining centers for working metal","13952178","0.33874255257978425","8457","Machinery"
"Lathes for removing metal","2903521","0.07049409167579482","8458","Machinery"
"Machine tools for drilling by removing metal","6523043","0.15837184964295134","8459","Machinery"
"Machines with grinding stones for finishing metal","16474428","0.3999798306050762","8460","Machinery"
"Other machine tools for planing and cutting metals","6975715","0.16936219600761185","8461","Machinery"
"Machine tools for molding and forging metals","2144294","0.05206094869500058","8462","Machinery"
"Other machine tools for working metal, without removal","5002157","0.12144651756771135","8463","Machinery"
"Machine tools for working stone","662002","0.016072633770363477","8464","Machinery"
"Machine tools for working wood","5158185","0.12523469479666574","8465","Machinery"
"Parts and accessories for metal working machines","33038374","0.802133053480652","8466","Machinery"
"Tools for hand working, pneumatic, hydraulic motors","968910","0.02352400081335536","8467","Machinery"
"Machinery for soldering","1104022","0.026804362041843114","8468","Machinery"
"Cash registers, calculators, etc.","95825","0.0023265188489537494","8470","Machinery"
"Computers","19137566","0.4646377043787781","8471","Machinery"
"Other office machines","1432921","0.03478964482715007","8472","Machinery"
"Parts and accessories for office machines","18567755","0.4508033601905059","8473","Machinery"
"Machinery for working minerals","6060015","0.14713007171867942","8474","Machinery"
"Machines for assembling electric lamps","28289270","0.6868303665864005","8475","Machinery"
"Machinery for working rubber or plastics","57440380","1.3945851996980534","8477","Machinery"
"Machinery for preparing tobacco","3055603","0.07418646464304329","8478","Machinery"
"Machines n.e.c.","273113572","6.630877883256843","8479","Machinery"
"Molding boxes for metal foundry","22292239","0.541229472672913","8480","Machinery"
"Appliances for thermostatically controlled valves","74437312","1.8072508158982636","8481","Machinery"
"Ball or roller bearings","26255019","0.6374411331399825","8482","Machinery"
"Transmission shafts","39815396","0.9666712159932974","8483","Machinery"
"Gaskets and similar joints of metal sheeting","1961112","0.0476135041263698","8484","Machinery"
"Machinery parts, not containing electrical features, n.e.c.","12288693","0.29835508367864333","8485","Machinery"
"Electric motors and generators","84996648","2.063619135610613","8501","Electronics"
"Electric generating sets and rotary converters","79374405","1.9271176556951604","8502","Electronics"
"Parts for use with electric generators","3482883","0.08456032296582919","8503","Electronics"
"Electrical transformers","79903306","1.9399587529634148","8504","Electronics"
"Electromagnets","2226291","0.0540517398878799","8505","Electronics"
"Primary cells and primary batteries","345256","0.00838241160150666","8506","Electronics"
"Batteries","7297825","0.1771826498185849","8507","Electronics"
"Vacuum cleaners","1451868","0.03524965581208225","8508","Electronics"
"Electromechanical domestic appliances","9788639","0.23765669855573995","8509","Electronics"
"Electric shavers and hair clippers","287298","0.006975259194017368","8510","Electronics"
"Electrical ignition equipment","3046673","0.07396965469447918","8511","Electronics"
