"Name","Code","Year","Current Gross Export","Sector"
"Machinery and instruments","7 HS4","1995","$1.29B","Machinery"
"Machinery and instruments","7 HS4","1996","$1.42B","Machinery"
"Machinery and instruments","7 HS4","1997","$1.26B","Machinery"
"Machinery and instruments","7 HS4","1998","$1.53B","Machinery"
"Machinery and instruments","7 HS4","1999","$1.51B","Machinery"
"Machinery and instruments","7 HS4","2000","$1.42B","Machinery"
"Machinery and instruments","7 HS4","2001","$1.17B","Machinery"
"Machinery and instruments","7 HS4","2002","$1.08B","Machinery"
"Machinery and instruments","7 HS4","2003","$1.13B","Machinery"
"Machinery and instruments","7 HS4","2004","$1.54B","Machinery"
"Machinery and instruments","7 HS4","2005","$1.39B","Machinery"
"Machinery and instruments","7 HS4","2006","$1.61B","Machinery"
"Machinery and instruments","7 HS4","2007","$1.82B","Machinery"
"Machinery and instruments","7 HS4","2008","$2.19B","Machinery"
"Machinery and instruments","7 HS4","2009","$1.58B","Machinery"
"Machinery and instruments","7 HS4","2010","$2.49B","Machinery"
"Machinery and instruments","7 HS4","2011","$2.65B","Machinery"
"Machinery and instruments","7 HS4","2012","$1.69B","Machinery"
"Machinery and instruments","7 HS4","2013","$1.78B","Machinery"
"Machinery and instruments","7 HS4","2014","$1.91B","Machinery"
"Machinery and instruments","7 HS4","2015","$1.70B","Machinery"
"Machinery and instruments","7 HS4","2016","$1.70B","Machinery"
"Machinery and instruments","7 HS4","2017","$1.87B","Machinery"
"Machinery and instruments","7 HS4","2018","$1.99B","Machinery"
"Machinery and instruments","7 HS4","2019","$2.10B","Machinery"
"Electronics","8 HS4","1995","$638M","Electronics"
"Electronics","8 HS4","1996","$479M","Electronics"
"Electronics","8 HS4","1997","$806M","Electronics"
"Electronics","8 HS4","1998","$851M","Electronics"
"Electronics","8 HS4","1999","$951M","Electronics"
"Electronics","8 HS4","2000","$1.17B","Electronics"
"Electronics","8 HS4","2001","$734M","Electronics"
"Electronics","8 HS4","2002","$798M","Electronics"
"Electronics","8 HS4","2003","$933M","Electronics"
"Electronics","8 HS4","2004","$1.14B","Electronics"
"Electronics","8 HS4","2005","$1.17B","Electronics"
"Electronics","8 HS4","2006","$1.08B","Electronics"
"Electronics","8 HS4","2007","$1.16B","Electronics"
"Electronics","8 HS4","2008","$1.18B","Electronics"
"Electronics","8 HS4","2009","$838M","Electronics"
"Electronics","8 HS4","2010","$1.00B","Electronics"
"Electronics","8 HS4","2011","$1.05B","Electronics"
"Electronics","8 HS4","2012","$1.21B","Electronics"
"Electronics","8 HS4","2013","$1.25B","Electronics"
"Electronics","8 HS4","2014","$1.75B","Electronics"
"Electronics","8 HS4","2015","$1.38B","Electronics"
"Electronics","8 HS4","2016","$1.79B","Electronics"
"Electronics","8 HS4","2017","$2.03B","Electronics"
"Electronics","8 HS4","2018","$2.42B","Electronics"
"Electronics","8 HS4","2019","$2.02B","Electronics"
